Champion,Skill,Skill Name,Primary Damage Stat,Base,ATK or DEF Buff,Book,Mastery,Total,Damage Bonus from Books,DamageGrade,Target
Kreela Witch-Arm,A1,Witchlight Barrier,ATK,8603,1.5,1.2,1.00,15485,20,Godlike,Single Target
Elhain,A1,Keen Shot,ATK,8252,1.5,1.25,1.00,15473,25,Godlike,Single Target
Mistress of Hymns,A2,Song of Triumph,ATK,8596,1.5,1.2,1.00,15473,20,Average,Single Target
Varl the Destroyer,A1,Ravaging Leech,ATK,8592,1.5,1.2,1.00,15466,20,Godlike,Single Target
Septimus,A2,Holy Sword,ATK,8234,1.5,1.25,1.00,15439,25,Godlike,Single Target
Kallia,A2,Curse of Nullity,ATK,9352,1.5,1.1,1.00,15431,10,Strong,AoE Enemy
Maranix,A3,Inexorable End,ATK,9332,1.5,1.1,1.00,15398,10,Strong,AoE Enemy
Sanguinia,A3,Sacrificial Lamb,ATK,8920,1.5,1.15,1.00,15387,15,Average,Single Target
Jinglehunter,A3,Cold Snap,ATK,8546,1.5,1.2,1.00,15383,20,Strong,AoE Enemy
Astralith,A1,Assault Leader,ATK,8194,1.5,1.25,1.00,15364,25,Godlike,Single Target
Royal Huntsman,A2,Slaughter Volley,ATK,8521,1.5,1.2,1.00,15338,20,Strong,AoE Enemy
Genbo the Dishonored,A2,Heartless Blitz,ATK,8515,1.5,1.2,1.00,15327,20,Strong,AoE Enemy
Genbo the Dishonored,A1,Twin Soulswords,ATK,8515,1.5,1.2,1.00,15327,20,Godlike,Single Target
Martyr,A3,Suppression,DEF,7983,1.6,1.2,1.00,15327,20,Strong,AoE Enemy
Elhain,A3,Valley of Death,ATK,8164,1.5,1.25,1.00,15308,25,Strong,AoE Enemy
Galek,A2,Hellraiser,ATK,8153,1.5,1.25,1.00,15287,25,Strong,AoE Enemy
Basileus Roanas,A1,Bolts of Scorn,ATK,8466,1.5,1.2,1.00,15239,20,Godlike,Single Target
Nobel,A1,Smell Fear,ATK,9231,1.5,1.1,1.00,15231,10,Godlike,Single Target
Fleshmonger,A1,Thorough Butchery,ATK,7521,1.5,1.35,1.00,15230,35,Godlike,Single Target
Vizier Ovelis,A1,Accursed Blades,ATK,8818,1.5,1.15,1.00,15211,15,Godlike,Single Target
Kalvalax,A1,Oozing Greatsword,ATK,8814,1.5,1.15,1.00,15204,15,Godlike,Single Target
Oboro,A1,Spreading Chaos,ATK,9196,1.5,1.1,1.00,15173,10,Godlike,Single Target
Kael,A2,Acid Rain,ATK,8425,1.5,1.2,1.00,15165,20,Strong,AoE Enemy
Ailil,A3,Chill Wind of Autumn,ATK,8408,1.5,1.2,1.00,15134,20,Strong,AoE Enemy
War Mother,A1,Cry Havoc,ATK,8764,1.5,1.15,1.00,15118,15,Godlike,Single Target
Sicia Flametongue,A2,Flame Eruption,ATK,8761,1.5,1.15,1.00,15113,15,Strong,AoE Enemy
Saito,A1,Unbearable Assault,ATK,9150,1.5,1.1,1.00,15098,10,Strong,Single Target
Sir Artimage,A1,Nobleman's Mace,ATK,8380,1.5,1.2,1.00,15084,20,Godlike,Single Target
Sir Artimage,A2,Ring True,ATK,8379,1.5,1.2,1.00,15082,20,Strong,AoE Enemy
Raglin,A1,Repent,ATK,8041,1.5,1.25,1.00,15077,25,Godlike,Single Target
Sniper,A1,Double Shot,ATK,8036,1.5,1.25,1.00,15068,25,Godlike,Single Target
Suwai Firstborn,A2,Utter Rampage,ATK,8362,1.5,1.2,1.00,15052,20,Strong,AoE Enemy
Cupidus,A1,Heartbreaker,ATK,8343,1.5,1.2,1.00,15017,20,Godlike,AoE Enemy
Elenaril,A1,Searing Rebuke,ATK,7698,1.5,1.3,1.00,15011,30,Godlike,Single Target
Black Knight,A3,Last Breath,HP,12496,1,1.2,1.00,14995,20,Strong,AoE Enemy
Scabrius,A1,Gutter Knife,ATK,9079,1.5,1.1,1.00,14980,10,Godlike,Single Target
Rhazin Scarhide,A3,Bog Down,DEF,7481,1.6,1.25,1.00,14962,25,Strong,AoE Enemy
Malbranche,A2,Bident Mastery,ATK,8668,1.5,1.15,1.00,14952,15,Average,Single Target
Teshada,A3,Spirit Appeasement,DEF,9344,1.6,1,1.00,14950,0,Average,Single Target
Archmage Hellmut,A2,Timeslip,ATK,8296,1.5,1.2,1.00,14933,20,Strong,Single Target
Sicia Flametongue,A3,Firestorm Rite,ATK,8288,1.5,1.2,1.00,14918,20,Strong,AoE Enemy
Tallia,A2,Rise to Duty,ATK,7955,1.5,1.25,1.00,14916,25,Strong,AoE Enemy
Kurzad Deepheart,A1,Bushwhack,ATK,7648,1.5,1.3,1.00,14914,30,Godlike,Single Target
Nobel,A3,Dismay,ATK,9468,1.5,1.05,1.00,14912,5,Strong,AoE Enemy
Bystophus,A3,Crumble,ATK,8640,1.5,1.15,1.00,14904,15,Strong,AoE Enemy
Sachi,A2,Heart Pierce,ATK,8267,1.5,1.2,1.00,14881,20,Average,Single Target
Shatterbones,A2,Hail,ATK,9446,1.5,1.05,1.00,14877,5,Strong,AoE Enemy
Helicath,A2,Winds of the Pit,DEF,7747,1.6,1.2,1.00,14874,20,Strong,AoE Enemy
Shaman,A2,Exploit Weakness,ATK,8260,1.5,1.2,1.00,14868,20,Average,Single Target
Sachi,A3,Shadow Ambush,ATK,8619,1.5,1.15,1.00,14868,15,Average,Single Target
Wuji,A2,World of Darkness,ATK,8996,1.5,1.1,1.00,14843,10,Strong,AoE Enemy
Arix,A2,Thornchain Malison,HP,12348,1,1.2,1.00,14818,20,Strong,AoE Enemy
Bombardier,A3,Septic Shot,ATK,8978,1.5,1.1,1.00,14814,10,Average,Single Target
Headsman,A2,Headman's Due,ATK,8578,1.5,1.15,1.00,14797,15,Strong,AoE Enemy
Alika,A3,Disorient,ATK,8218,1.5,1.2,1.00,14792,20,Strong,AoE Enemy
Umbral Enchantress,A3,Undying Evil,DEF,7704,1.6,1.2,1.00,14792,20,Strong,AoE Enemy
Tomb Lord,A2,Death Burst,ATK,9839,1.5,1,1.00,14759,0,Average,Single Target
Lady Eresh,A2,Blur of Knives,ATK,7864,1.5,1.25,1.00,14745,25,Strong,AoE Enemy
Basher,A2,Stinging Blast,ATK,8546,1.5,1.15,1.00,14742,15,Strong,AoE Enemy
Slayer,A2,Frost Burst,ATK,8164,1.5,1.2,1.00,14695,20,Strong,AoE Enemy
Suwai Firstborn,A1,Render Helpless,ATK,8159,1.5,1.2,1.00,14686,20,Godlike,Single Target
Anointed,A2,Vigor Theft,ATK,8509,1.5,1.15,1.00,14678,15,Average,Single Target
Old Ghrukkus,A2,Toe the Line,ATK,9782,1.5,1,1.00,14673,0,Average,Single Target
Chonoru,A3,Lay Bare,ATK,8150,1.5,1.2,1.00,14670,20,Strong,AoE Enemy
Skullcrown,A1,Wave of Souls,ATK,8150,1.5,1.2,1.00,14670,20,Godlike,AoE Enemy
Aleksandr the Sharpshooter,A1,Arctic Warfare,ATK,8141,1.5,1.2,1.00,14654,20,Godlike,Single Target
Venomage,A2,Neurotoxin,ATK,8881,1.5,1.1,1.00,14654,10,Average,Single Target
Baerdal Fellhammer,A1,Ensorcelled Axe,ATK,8879,1.5,1.1,1.00,14650,10,Godlike,Single Target
Mistrider Daithi,A2,Squall of Shafts,ATK,8128,1.5,1.2,1.00,14630,20,Strong,AoE Enemy
Outlander,A1,Savage Strike,ATK,7797,1.5,1.25,1.00,14619,25,Godlike,Single Target
Wagonbane,A3,Start The Mayhem,ATK,8463,1.5,1.15,1.00,14599,15,Average,Single Target
Umetogi,A1,Sai Assassin,ATK,7482,1.5,1.3,1.00,14590,30,Godlike,Single Target
Thylessia,A2,Shrieking Voices,ATK,8102,1.5,1.2,1.00,14584,20,Strong,AoE Enemy
Thylessia,A3,Melancholia,ATK,8102,1.5,1.2,1.00,14584,20,Strong,AoE Enemy
Skimfos the Consumed,A2,Curse Feeder,ATK,8100,1.5,1.2,1.00,14580,20,Strong,AoE Enemy
Ultimate Galek,A3,Burning Rage,ATK,8099,1.5,1.2,1.00,14578,20,Strong,AoE Enemy
Outrider,A3,Salvo,ATK,7774,1.5,1.25,1.00,14576,25,Strong,AoE Enemy
Valla,A1,Piercing Blade,DEF,7589,1.6,1.2,1.00,14571,20,Godlike,Single Target
Keeyra the Watcher,A2,Smashing Spree,DEF,7584,1.6,1.2,1.00,14561,20,Strong,AoE Enemy
Scion,A3,Crawling Chaos,ATK,8089,1.5,1.2,1.00,14560,20,Strong,AoE Enemy
Relickeeper,A1,Crusade,ATK,7760,1.5,1.25,1.00,14550,25,Godlike,Single Target
Alaric the Hooded,A3,Crimson Warlord,ATK,8430,1.5,1.15,1.00,14542,15,Strong,AoE Enemy
Michinaki,A3,Doubled Degeneracy,DEF,9086,1.6,1,1.00,14538,0,Strong,AoE Enemy
Michinaki,A1,Burning Bonds,DEF,7571,1.6,1.2,1.00,14536,20,Godlike,Single Target
Queen Eva,A1,Cauterize,ATK,7178,1.5,1.35,1.00,14535,35,Godlike,Single Target
Exiled Sorcerer,A1,Pulsating Projectile,ATK,8417,1.5,1.15,1.00,14519,15,Godlike,Single Target
Ruella,A1,Harassment Volley,ATK,8793,1.5,1.1,1.00,14508,10,Godlike,Single Target
Helior,A1,Sunshine Halberd,DEF,7249,1.6,1.25,1.00,14498,25,Godlike,Single Target
Sinesha,A1,Burning Wave,ATK,8046,1.5,1.2,1.00,14483,20,Strong,AoE Enemy
Zavia,A4,Calamitous Partner,ATK,9649,1.5,1,1.00,14474,0,Average,Single Target
Galkut,A3,Boom Barrage,ATK,8040,1.5,1.2,1.00,14472,20,Strong,AoE Enemy
Elder Skarg,A1,Tide of Steel,ATK,7419,1.5,1.3,1.00,14467,30,Strong,Single Target
Oldbeard,A2,Outlast,ATK,8385,1.5,1.15,1.00,14464,15,Average,Single Target
Teumesia,A1,Fiery Battleaxe,ATK,8365,1.5,1.15,1.00,14430,15,Strong,Single Target
Ogryn Jailer,A1,Lockdown,ATK,8744,1.5,1.1,1.00,14428,10,Strong,Single Target
Aox the Rememberer,A2,Lore of Restoration,ATK,8358,1.5,1.15,1.00,14418,15,Average,Single Target
Conquerer,A1,Swift Blow,ATK,7998,1.5,1.2,1.00,14396,20,Strong,Single Target
Goremask,A1,Snap,ATK,7109,1.5,1.35,1.00,14396,35,Strong,Single Target
Goffred Brassclad,A2,Concuss,DEF,7492,1.6,1.2,1.00,14385,20,Strong,AoE Enemy
Souldrinker,A3,Magma Blast,ATK,8713,1.5,1.1,1.00,14376,10,Strong,AoE Enemy
Catacomb Councilor,A1,Grotesque Strength,ATK,7664,1.5,1.25,1.00,14370,25,Strong,Single Target
Armina,A2,Trampling Rampage,ATK,8321,1.5,1.15,1.00,14354,15,Strong,AoE Enemy
Whisper,A1,Softening Drive,ATK,8699,1.5,1.1,1.00,14353,10,Strong,Single Target
Zavia,A1,Transfix,ATK,7961,1.5,1.2,1.00,14330,20,Strong,Single Target
Terrorbeast,A2,Shriek,ATK,7345,1.5,1.3,1.00,14323,30,Weak,Random Enemy
Arndulf,A2,Daunting Violence,DEF,7783,1.6,1.15,1.00,14321,15,Strong,AoE Enemy
Hordin,A1,Relentless Strike,ATK,7638,1.5,1.25,1.00,14321,25,Strong,Single Target
Lydia the Deathsiren,A3,Nullification,ATK,8672,1.5,1.1,1.00,14309,10,Average,Single Target
Fortus,A2,Horrors Beyond,DEF,8126,1.6,1.1,1.00,14302,10,Strong,AoE Enemy
Ashwalker,A1,Great Hammer,ATK,7062,1.5,1.35,1.00,14301,35,Strong,Single Target
Dolor Lorekeeper,A2,Stern Punishment,ATK,8660,1.5,1.1,1.00,14289,10,Average,Single Target
Danag Skullreap,A1,Shatter Confidence,ATK,8649,1.5,1.1,1.00,14271,10,Strong,Single Target
Chaagur,A1,Stupor,ATK,7928,1.5,1.2,1.00,14270,20,Strong,Single Target
Iron Brago,A3,Battle Storm,DEF,7750,1.6,1.15,1.00,14260,15,Strong,AoE Enemy
Stitched Beast,A1,Bestial Maw,ATK,7605,1.5,1.25,1.00,14259,25,Strong,Single Target
Ripper,A1,Scar for Life,ATK,7921,1.5,1.2,1.00,14258,20,Strong,Single Target
Mistrider Daithi,A1,Briar Arrows,ATK,7920,1.5,1.2,1.00,14256,20,Strong,Single Target
Acolyte,A2,Dark Exhaustion,ATK,7307,1.5,1.3,1.00,14249,30,Average,Single Target
Ultimate Galek,A1,Fury Slash,ATK,7897,1.5,1.2,1.00,14215,20,Strong,Single Target
Dark Athel,A3,Harvest of Despair,ATK,7895,1.5,1.2,1.00,14211,20,Strong,AoE Enemy
Luthiea,A3,Numbing Poison,ATK,8229,1.5,1.15,1.00,14195,15,Strong,AoE Enemy
Yumeko,A2,Destiny's Mirror,ATK,7878,1.5,1.2,1.00,14180,20,Average,Single Target
Sigmund the Highshield,A2,Battlefield Beacon,DEF,7704,1.6,1.15,1.00,14175,15,Strong,AoE Enemy
Shatterbones,A1,Rend,ATK,7872,1.5,1.2,1.00,14170,20,Strong,Single Target
Tatura Rimehide,A1,Solar Ray,DEF,7695,1.6,1.15,1.00,14159,15,Strong,Single Target
Ultimate Deathknight,A2,Rats Off To Ya,DEF,8044,1.6,1.1,1.00,14157,10,Strong,AoE Enemy
Crusader,A1,Hack,ATK,7865,1.5,1.2,1.00,14157,20,Strong,Single Target
Helior,A2,Solar Blessing,DEF,6796,1.6,1.3,1.00,14136,30,Strong,AoE Enemy
Fayne,A1,Exotic Blades,ATK,7520,1.5,1.25,1.00,14100,25,Strong,Single Target
Defiled Sinner,A3,Corrosive Smog,ATK,8162,1.5,1.15,1.00,14079,15,Strong,AoE Enemy
Ninja,A1,Shatterbolt,ATK,8533,1.5,1.1,1.00,14079,10,Strong,Single Target
Roxam,A1,Chroma Shift,ATK,8521,1.5,1.1,1.00,14060,10,Strong,Single Target
Umbral Enchantress,A1,Essence Scepter,DEF,7319,1.6,1.2,1.00,14052,20,Strong,Single Target
Skullsquire,A2,Cold Grasp,ATK,8516,1.5,1.1,1.00,14051,10,Average,Single Target
Crusher,A2,Savage Swipe,ATK,8141,1.5,1.15,1.00,14043,15,Average,Single Target
Taurus,A1,Metabolize,ATK,7481,1.5,1.25,1.00,14027,25,Strong,Single Target
Shemnath,A1,Bring to Ruin,ATK,7787,1.5,1.2,1.00,14017,20,Strong,Single Target
Channeler,A2,Halt!,ATK,8493,1.5,1.1,1.00,14013,10,Average,Single Target
Goffred Brassclad,A1,Mete Punishment,DEF,7290,1.6,1.2,1.00,13997,20,Strong,Single Target
Ailil,A1,Gnarled Scythe,ATK,7171,1.5,1.3,1.00,13983,30,Strong,Single Target
Tuhak the Wanderer,A2,Whirl of Battle,ATK,7760,1.5,1.2,1.00,13968,20,Strong,AoE Enemy
Yelagirna,A2,Mortify,ATK,7760,1.5,1.2,1.00,13968,20,Strong,AoE Enemy
Necrohunter,A1,Crypt Arrows,ATK,8456,1.5,1.1,1.00,13952,10,Strong,Single Target
Siegehulk,A2,Thrashing Fit,ATK,8080,1.5,1.15,1.00,13938,15,Strong,AoE Enemy
Teshada,A1,Savage Fury,DEF,6691,1.6,1.3,1.00,13917,30,Strong,Single Target
Balthus Drauglord,A2,Doomwheels,DEF,7563,1.6,1.15,1.00,13916,15,Strong,AoE Enemy
Countess Lix,A3,Time Dilation,ATK,8434,1.5,1.1,1.00,13916,10,Strong,AoE Enemy
Misericord,A2,Stay Vigilant,ATK,7716,1.5,1.2,1.00,13889,20,Strong,AoE Enemy
Berserker,A1,All-Out Attack,ATK,7407,1.5,1.25,1.00,13888,25,Strong,Single Target
Judge,A2,Blade Dance,ATK,7404,1.5,1.25,1.00,13883,25,Strong,AoE Enemy
Luthiea,A1,Burning Arrow,ATK,8411,1.5,1.1,1.00,13878,10,Strong,Single Target
Aothar,A1,Rage,ATK,7697,1.5,1.2,1.00,13855,20,Strong,Single Target
Fencer,A1,Enchanted Rapier,ATK,8027,1.5,1.15,1.00,13847,15,Strong,Single Target
Wanderer,A1,Lay On,ATK,7682,1.5,1.2,1.00,13828,20,Strong,Single Target
Pharsalas Gravedirt,A2,Necrosis,DEF,7855,1.6,1.1,1.00,13825,10,Strong,AoE Enemy
Frozen Banshee,A3,Frost Blight,ATK,7680,1.5,1.2,1.00,13824,20,Average,Single Target
Nekhret the Great,A1,Tomb Glaive,DEF,7512,1.6,1.15,1.00,13822,15,Strong,Single Target
Archer,A1,Double Shot,ATK,7371,1.5,1.25,1.00,13821,25,Strong,Single Target
Infernal Baroness,A2,Clinging Dark,DEF,7852,1.6,1.1,1.00,13820,10,Strong,AoE Enemy
Athel,A2,Divine Blades,ATK,7369,1.5,1.25,1.00,13817,25,Strong,AoE Enemy
Grimskin,A3,Ichor Fling,DEF,7843,1.6,1.1,1.00,13804,10,Strong,AoE Enemy
Cudgeler,A1,The Harder They Fall,ATK,6813,1.5,1.35,1.00,13796,35,Strong,Single Target
Thylessia,A1,Weft of Madness,ATK,7664,1.5,1.2,1.00,13795,20,Strong,Single Target
Astralon,A1,Hellbinder,ATK,8356,1.5,1.1,1.00,13787,10,Strong,Single Target
Dark Kael,A2,Binding Darkness,ATK,7649,1.5,1.2,1.00,13768,20,Strong,AoE Enemy
Tallia,A1,Hack and Slash,ATK,7343,1.5,1.25,1.00,13768,25,Strong,Single Target
Jinglehunter,A1,Missile Toe,ATK,7647,1.5,1.2,1.00,13765,20,Strong,Single Target
Jizoh,A1,Reaping Blows,DEF,7478,1.6,1.15,1.00,13760,15,Strong,Single Target
Hellborn Sprite,A2,Crumbling Flesh,ATK,7975,1.5,1.15,1.00,13757,15,Average,Single Target
Liburga,A2,Boil From Within,ATK,8331,1.5,1.1,1.00,13746,10,Average,Single Target
Romero,A1,Bring Hope,DEF,6869,1.6,1.25,1.00,13738,25,Strong,Single Target
Preserver,A3,Ice Blow,ATK,7957,1.5,1.15,1.00,13726,15,Average,Single Target
King Garog,A1,Gigantic Cleavers,ATK,7623,1.5,1.2,1.00,13721,20,Strong,Single Target
Daywalker,A3,Death Denied,ATK,9144,1.5,1,1.00,13716,0,Strong,AoE Enemy
Samar Gemcursed,A3,Boon Subversion,HP,11418,1,1.2,1.00,13702,20,Strong,AoE Enemy
Delver,A3,Finisher,ATK,7921,1.5,1.15,1.00,13664,15,Godlike,AoE Enemy
Norog,A1,Maul,DEF,7426,1.6,1.15,1.00,13664,15,Strong,Single Target
Visix the Unbowed,A3,Single Combat,DEF,8531,1.6,1,1.00,13650,0,Strong,AoE Enemy
Rowan,A1,Slash,ATK,8266,1.5,1.1,1.00,13639,10,Strong,Single Target
Berserker,A3,Sweep,ATK,7573,1.5,1.2,1.00,13631,20,Average,AoE Enemy
Fodbor the Bard,A1,Axe Solo,ATK,7883,1.5,1.15,1.00,13598,15,Strong,Single Target
Giscard the Sigiled,A2,Lion's Roar,DEF,7390,1.6,1.15,1.00,13598,15,Strong,AoE Enemy
Head Taker,A1,Carve Up,ATK,7552,1.5,1.2,1.00,13594,20,Strong,Single Target
Lady Quilen,A1,Mistress of Mallets,ATK,7546,1.5,1.2,1.00,13583,20,Strong,Single Target
Flesheater,A2,Tenderize,ATK,7541,1.5,1.2,1.00,13574,20,Average,Single Target
Luria,A2,Mark of Fear,ATK,7540,1.5,1.2,1.00,13572,20,Strong,AoE Enemy
Martyr,A1,Rush,DEF,6786,1.6,1.25,1.00,13572,25,Strong,Single Target
Dark Elhain,A2,Death's Majesty,ATK,7864,1.5,1.15,1.00,13565,15,Strong,AoE Enemy
Tuhak the Wanderer,A1,Unfair Fight,ATK,7864,1.5,1.15,1.00,13565,15,Strong,Single Target
Fanatic,A2,Cursebearer,ATK,8218,1.5,1.1,1.00,13560,10,Average,Single Target
Norog,A2,Ice Pillar,DEF,7054,1.6,1.2,1.00,13544,20,Strong,AoE Enemy
Chemist,A1,Trick Saws,ATK,7219,1.5,1.25,1.00,13536,25,Strong,Single Target
Sniper,A2,Rain of Arrows,ATK,6940,1.5,1.3,1.00,13533,30,Strong,AoE Enemy
Fahrakin the Fat,A1,Sizzling Strike,ATK,8195,1.5,1.1,1.00,13522,10,Strong,Single Target
Gorlos Hellmaw,A1,Hungry Shafts,ATK,7512,1.5,1.2,1.00,13522,20,Strong,Single Target
Akoth the Seared,A2,Pyroclasm,DEF,6497,1.6,1.3,1.00,13514,30,Strong,AoE Enemy
Ultimate Deathknight,A1,Heckler of Legends,DEF,7038,1.6,1.2,1.00,13513,20,Strong,Single Target
Dirandil,A1,Brumal Razors,ATK,7503,1.5,1.2,1.00,13505,20,Strong,Single Target
Nogoryo,A1,Double Kamas,ATK,7503,1.5,1.2,1.00,13505,20,Strong,Single Target
Hardscale,A2,Shocking Wound,ATK,7826,1.5,1.15,1.00,13500,15,Average,Single Target
Cleopterix,A1,Death Dive,ATK,8178,1.5,1.1,1.00,13494,10,Strong,Single Target
Angar,A1,Exacerbate,HP,11236,1,1.2,1.00,13483,20,Strong,Single Target
Hexia,A1,Grave Rot,ATK,7482,1.5,1.2,1.00,13468,20,Strong,Single Target
Kallia,A1,Superheated Hammer,ATK,7482,1.5,1.2,1.00,13468,20,Strong,Single Target
Maeve,A1,Stupefy,ATK,7807,1.5,1.15,1.00,13467,15,Strong,Single Target
Broodlord,A3,Primal Tremor,DEF,7642,1.6,1.1,1.00,13450,10,Strong,AoE Enemy
Gliseah Soulguide,A2,Breath of Rime,DEF,7004,1.6,1.2,1.00,13448,20,Strong,AoE Enemy
Yelagirna,A1,Breath Taker,ATK,8148,1.5,1.1,1.00,13444,10,Strong,Single Target
Dark Athel,A2,Blades of Blood,ATK,7787,1.5,1.15,1.00,13433,15,Strong,AoE Enemy
Foli,A1,Marked for Destruction,ATK,8139,1.5,1.1,1.00,13429,10,Strong,Single Target
Cagebreaker,A3,Burn Away,ATK,7451,1.5,1.2,1.00,13412,20,Strong,AoE Enemy
Scion,A1,Nightmare Khopesh,ATK,7451,1.5,1.2,1.00,13412,20,Strong,Single Target
Lady Eresh,A1,Meticulous Adversary,ATK,7450,1.5,1.2,1.00,13410,20,Strong,Single Target
Sergeant,A1,Hack,ATK,7450,1.5,1.2,1.00,13410,20,Strong,Single Target
Cultist,A2,Toxic Miasma,ATK,7770,1.5,1.15,1.00,13403,15,Strong,AoE Enemy
Stalker,A2,Tear Apart,ATK,8119,1.5,1.1,1.00,13396,10,Average,Single Target
Luria,A1,Cursed Sword,ATK,7436,1.5,1.2,1.00,13385,20,Strong,Single Target
Wagonbane,A2,Hackgore Magic,ATK,7758,1.5,1.15,1.00,13383,15,Average,Single Target
Masamoto,A2,Steel Typhoon,DEF,7954,1.6,1.05,1.00,13363,5,Strong,AoE Enemy
Skirmisher,A1,Twin Shafts,ATK,7424,1.5,1.2,1.00,13363,20,Strong,Single Target
Demytha,A1,Fires of Old,ATK,7423,1.5,1.2,1.00,13361,20,Strong,Single Target
Outrider,A1,Bodkin,ATK,8098,1.5,1.1,1.00,13362,10,Strong,Single Target
Elhain,A2,Lightning Arrow,ATK,7422,1.5,1.2,1.00,13360,20,Strong,Single Target
Scrapper,A1,Arena Arts,ATK,7422,1.5,1.2,1.00,13360,20,Strong,Single Target
Cagebreaker,A1,Shatter Shell,ATK,8089,1.5,1.1,1.00,13347,10,Strong,Single Target
Krisk the Ageless,A2,Centuried Vigor,DEF,6409,1.6,1.3,1.00,13331,30,Strong,AoE Enemy
Totem,A2,Malediction,ATK,7401,1.5,1.2,1.00,13322,20,Average,Single Target
Umbral Enchantress,A2,Immolate,DEF,6934,1.6,1.2,1.00,13313,20,Strong,AoE Enemy
Magnarr,A3,Fan the Flames,HP,11077,1,1.2,1.00,13292,20,Average,Single Target
Riho Bonespear,A1,Absorbtion,ATK,7384,1.5,1.2,1.00,13291,20,Strong,Single Target
Tainix Hateflower,A2,Spiteful Cut,ATK,7384,1.5,1.2,1.00,13291,20,Average,Single Target
Husk,A1,Burning Iron,ATK,8055,1.5,1.1,1.00,13291,10,Strong,Single Target
Sigmund the Highshield,A1,Fairer Fight,DEF,7223,1.6,1.15,1.00,13290,15,Strong,Single Target
Witness,A2,Support Fire,ATK,7084,1.5,1.25,1.00,13283,25,Average,Single Target
Taya,A1,Daze Powder,ATK,8046,1.5,1.1,1.00,13276,10,Strong,Single Target
Kyoku,A2,Blood Curdle,DEF,6912,1.6,1.2,1.00,13271,20,Strong,AoE Enemy
Iron Brago,A1,Molten Pummeling,DEF,7540,1.6,1.1,1.00,13270,10,Strong,Single Target
Deathless,A1,Grave Whispers,DEF,7539,1.6,1.1,1.00,13269,10,Strong,Single Target
Ghrush the Mangler,A3,Smothering Swath,DEF,7537,1.6,1.1,1.00,13265,10,Strong,AoE Enemy
Chonoru,A1,Night Blossom,ATK,8037,1.5,1.1,1.00,13261,10,Strong,Single Target
Karam,A1,Bloodstained Swords,ATK,8834,1.5,1,1.00,13251,0,Strong,Single Target
Siegebreaker,A3,Heavenly Roar,ATK,8027,1.5,1.1,1.00,13245,10,Strong,AoE Enemy
Ignatius,A1,Skull Rattle,DEF,6896,1.6,1.2,1.00,13240,20,Strong,Single Target
Yumeko,A1,Wereclaws,ATK,7353,1.5,1.2,1.00,13235,20,Strong,Single Target
Fylja,A1,Elders' Judgment,ATK,6783,1.5,1.3,1.00,13227,30,Strong,Single Target
Teela Goremane,A2,Pyre Strike,HP,10175,1,1.3,1.00,13228,30,Average,Single Target
Gerhard the Stone,A1,Ringing Blow,ATK,7347,1.5,1.2,1.00,13225,20,Strong,Single Target
Interceptor,A1,Leg Pierce,DEF,7187,1.6,1.15,1.00,13224,15,Strong,Single Target
Fenax,A2,Stern Partner,ATK,7664,1.5,1.15,1.00,13220,15,Strong,AoE Enemy
Chani,A1,Insidious Arrow,ATK,7344,1.5,1.2,1.00,13219,20,Strong,Single Target
Royal Huntsman,A1,Confident Shot,ATK,7337,1.5,1.2,1.00,13207,20,Strong,Single Target
Alure,A2,Temptation,ATK,8000,1.5,1.1,1.00,13200,10,Strong,AoE Enemy
Stalwart,A2,Headbutt,ATK,7333,1.5,1.2,1.00,13199,20,Average,Single Target
Tuhanarak,A1,Sun's Kiss,DEF,7497,1.6,1.1,1.00,13195,10,Strong,Single Target
Prosecutor,A2,Halt Proceedings,ATK,7328,1.5,1.2,1.00,13190,20,Strong,AoE Enemy
Giscard the Sigiled,A1,Foebreaker,DEF,7493,1.6,1.1,1.00,13188,10,Strong,Single Target
Skimfos the Consumed,A1,Growing Hunger,ATK,7992,1.5,1.1,1.00,13187,10,Strong,Single Target
Scyl of the Drakes,A1,Drake's Swiftness,DEF,7485,1.6,1.1,1.00,13174,10,Strong,Single Target
Eviscerator,A2,Lethal Confusion,ATK,7311,1.5,1.2,1.00,13160,20,Strong,AoE Enemy
Woad-Painted,A3,Overpower,HP,11960,1,1.1,1.00,13156,10,Average,Single Target
Balthus Drauglord,A1,Shield Strike,DEF,7473,1.6,1.1,1.00,13152,10,Strong,Single Target
Marquess,A1,Disdainful Swipe,DEF,7471,1.6,1.1,1.00,13149,10,Strong,Single Target
Altan,A1,Searing Blow,DEF,6845,1.6,1.2,1.00,13142,20,Strong,Single Target
Dhukk the Pierced,A2,Lunatic Outburst,DEF,6839,1.6,1.2,1.00,13131,20,Strong,AoE Enemy
Hotatsu,A2,Rushing Death,DEF,7816,1.6,1.05,1.00,13131,5,Strong,AoE Enemy
Tarshon,A1,Diabolical Hook,DEF,7135,1.6,1.15,1.00,13128,15,Strong,Single Target
Grimskin,A1,Tarry Fist,DEF,6837,1.6,1.2,1.00,13127,20,Strong,Single Target
Archbishop Pinthroy,A1,Author of Fates,ATK,7285,1.5,1.2,1.00,13113,20,Strong,Single Target
Halberdier,A1,Hew,ATK,8735,1.5,1,1.00,13103,0,Strong,Single Target
Painsmith,A1,Pickaxe Crunch,ATK,7273,1.5,1.2,1.00,13091,20,Strong,Single Target
